glycerophosphates [GP10]	1-alkyl,2-acylglycerophosphates [GP1002]
1-alkyl,2-acylglycerophosphates [GP1002]	LION:0000070
glycerophosphates [GP10]	1-(1z-alkenyl),2-acylglycerophosphates [GP1003]
1-(1z-alkenyl),2-acylglycerophosphates [GP1003]	LION:0000071
glycerophosphates [GP10]	monoacylglycerophosphates [GP1005]
monoacylglycerophosphates [GP1005]	LION:0000072
glycerophosphates [GP10]	monoalkylglycerophosphates [GP1006]
monoalkylglycerophosphates [GP1006]	LION:0000073
glycerophosphates [GP10]	1z-alkenylglycerophosphates [GP1007]
1z-alkenylglycerophosphates [GP1007]	LION:0000074
glycerophospholipids [GP]	glyceropyrophosphates [GP11]
glyceropyrophosphates [GP11]	LION:0000020
glycerophospholipids [GP]	glycerophosphoglycerophosphoglycerols [GP12]
glycerophosphoglycerophosphoglycerols [GP12]	diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]
diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]	LION:0000728
glycerophosphoglycerophosphoglycerols [GP12]	diacylglycerophosphoglycerophosphomonoradylglycerols [GP1202]
diacylglycerophosphoglycerophosphomonoradylglycerols [GP1202]	LION:0000940
glycerophosphoglycerophosphoglycerols [GP12]	1-alkyl,2-acylglycerophosphoglycerophosphodiradylglycerols [GP1203]
1-alkyl,2-acylglycerophosphoglycerophosphodiradylglycerols [GP1203]	LION:0000941
glycerophosphoglycerophosphoglycerols [GP12]	1-alkyl,2-acylglycerophosphoglycerophosphomonoradylglycerols [GP1204]
1-alkyl,2-acylglycerophosphoglycerophosphomonoradylglycerols [GP1204]	LION:0000942
glycerophosphoglycerophosphoglycerols [GP12]	1-(1z-alkenyl),2-acylglycerophosphoglycerophosphodiradylglycerols [GP1205]
1-(1z-alkenyl),2-acylglycerophosphoglycerophosphodiradylglycerols [GP1205]	LION:0000943
glycerophosphoglycerophosphoglycerols [GP12]	1-(1z-alkenyl),2-acylglycerophosphoglycerophosphomonoradylglycerols [GP1206]
